epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,425.08580093503184,20.617608960294373,16.222111582569486,0.011830985505244529,35.517193,380.19893506547095,19.498690543632556,15.50046203505825,0.14806747415094812,34.30047,34.240864276885986,74.44636917114258
2,359.4510984943133,18.95919561392727,14.773758813622225,0.1644365051315697,33.038456,358.8118182974802,18.94232881343871,14.921059272658656,0.19599706762558478,33.52328,41.282031774520874,74.44636917114258
3,332.758546187471,18.241670619093075,14.141620925521254,0.22645617808350815,31.608128,343.1796131402674,18.525107595395152,14.445934900095764,0.2310333009198301,32.90774,163.46044635772705,74.44636917114258
4,311.26411891692493,17.642678900145803,13.619582523948896,0.27642830631733495,30.366024,332.9471235678229,18.246838710392694,14.180686211921799,0.2539620002740446,32.27866,156.32876443862915,74.44636917114258
5,294.08239879817097,17.148830835164347,13.202579372925378,0.3163718857667627,29.305279,325.86920767770687,18.051847715910043,13.979139610075615,0.26982408864413376,31.671276,168.10174536705017,74.44636917114258
