epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,486.21175436392724,22.050209911744744,17.513104723803384,-0.1277788045179098,38.199627,480.2262329101562,21.914064867424116,18.090545654296875,-0.03367882207141126,34.751476,49.10475492477417,74.44636917114258
2,428.40798014351736,20.698018789955057,16.432590417078465,0.006329890702067464,36.794014,469.53473510742185,21.668750056334726,17.64672393798828,-0.008238132681224641,34.167328,113.96408987045288,74.44636917114258
3,408.307973705,20.206631941474797,15.989038067566437,0.052969840653978695,35.76432,473.6234497070312,21.76289227617987,17.68009147644043,-0.015779132899449655,33.292503,122.46693754196167,74.44636917114258
4,391.3211196542799,19.781838157416562,15.589091369855844,0.0922082030115966,34.853394,484.5369018554687,22.012199210040325,17.904758834838866,-0.039486899908184325,33.113895,143.76064324378967,74.44636917114258
5,376.32662289000774,19.399139735827642,15.277168952034147,0.12702092715300373,34.05661,495.23590698242185,22.253896307813296,18.25548439025879,-0.06432229722326066,32.828407,215.6224775314331,74.44636917114258
