epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,493.24844661229093,22.209197341744087,17.571399633500125,-0.1466509012346744,37.551655,409.8292537205656,20.24424003464234,16.277715965056082,0.08167370669324492,35.764812,136.66521382331848,74.32730484008789
2,399.8053090031345,19.995132130883682,15.724830267761421,0.07059808495547115,35.0372,389.7697968818772,19.74258845822914,15.794621883983343,0.12662708035467296,34.722694,176.31521010398865,74.32730484008789
3,370.799736202043,19.256161013197215,15.069190856623164,0.13804116058544869,33.642017,371.3368710799956,19.270103026454493,15.303851449993294,0.16793654937446556,34.00681,326.44849491119385,74.32730484008789
4,351.18937563709625,18.740047381900826,14.597077926373071,0.18360206901330323,32.641922,358.60944484656966,18.93698615492067,14.96248277476136,0.19645734065713072,33.419514,310.39082193374634,74.32730484008789
5,337.06461481085404,18.35931954008871,14.24703052980426,0.21645289285273284,31.866571,348.8924766862896,18.67866370958492,14.69262030426885,0.218237107817559,32.920273,97.33368802070618,74.32730484008789
