epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,457.08793976833005,21.379615034050463,16.879591741845456,-0.0625852888111662,36.809765,403.8456889407735,20.095912180386918,16.230783825189295,0.0950870989560546,34.671722,42.29711365699768,95.24609756469727
2,383.61906614587156,19.58619580830816,15.351524266465356,0.10822119687617393,34.20305,384.39451319734815,19.605981654483625,15.733550165740537,0.13867648689831613,33.882553,46.671720027923584,95.24609756469727
3,360.9400761325221,18.99842298124596,14.816950212995025,0.16093740782334987,33.09034,368.93810390418685,19.207761576087854,15.313352329630247,0.17331096249135558,33.34912,72.93220281600952,95.24609756469727
4,343.0376523156681,18.5212756581516,14.417900425727378,0.20254531830453315,32.16556,356.4062547280755,18.87872486633963,14.972277990529236,0.201397509245538,32.914303,90.80037450790405,95.24609756469727
5,329.4233706001198,18.150023986747666,14.086949912595077,0.23417216265242424,31.456963,345.2548409045582,18.581034510583862,14.630106603595573,0.2263894899689176,32.584316,105.66585278511047,95.24609756469727
