epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,440.93832552675536,20.998531536677383,16.57051113737581,-0.02504278876586641,36.26004,388.9407490475077,19.721580773048025,15.747788294939928,0.12848700482525932,34.584366,41.567580699920654,74.32730484008789
2,364.29421199506066,19.0864929208836,14.922526196881266,0.15313499888776194,33.327164,357.54451805437117,18.90884752782896,14.867993139884842,0.19884579713982686,33.4668,45.47713899612427,74.32730484008789
3,337.26696311699953,18.364829525456155,14.261263913018789,0.21595894559292128,31.88695,339.984575083558,18.43867059644642,14.358621060008733,0.23819794043595266,32.673397,104.7640733718872,74.32730484008789
4,315.28076709156306,17.756147352701916,13.727404879478968,0.26705552729737225,30.68693,329.6933062916071,18.157458589328563,14.057006056879608,0.2612620977888739,32.064,178.18910098075867,74.32730484008789
5,298.4363017671731,17.27530903471068,13.301779623136088,0.30620108829621406,29.649185,324.0610166737731,18.001694732307087,13.881126833633639,0.2738779492914226,31.726751,117.36450958251953,74.32730484008789
