epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,460.76230655962684,21.46537461966485,16.996216702349308,-0.07115555691163711,37.068474,416.19367228763207,20.400825252870455,16.45635254282347,0.06742475557531924,35.23739,47.68718504905701,95.03442764282227
2,387.75125017001966,19.691400413420503,15.458876842624145,0.09860016782581782,34.480145,387.3986124387929,19.682444291765265,15.773414880457059,0.13195360675253864,34.0792,47.78761005401611,95.03442764282227
3,359.335468704152,18.956145960695647,14.811900322426093,0.1646558028854348,33.062008,367.10656695298746,19.16002516632056,15.23500596973258,0.17742400173550799,33.45645,77.62633943557739,95.03442764282227
4,340.5587539314664,18.454234024472644,14.360782336740986,0.20830914630140007,32.070385,351.50930248851506,18.748581368950695,14.796013308243014,0.21237730849012892,32.858574,102.01271891593933,95.03442764282227
5,326.50468327816293,18.06944056673127,14.042805150827519,0.24097473327495622,31.277775,342.59016869773325,18.509191552345584,14.552447372758893,0.23235928845550236,32.30391,123.49586701393127,95.03442764282227
