epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,428.33669525767345,20.69629668273999,16.28080109102252,0.004251605982863893,35.910698,381.9585214534276,19.54375907737499,15.595476096784564,0.14412812163091515,34.663013,45.692649126052856,95.15349197387695
2,357.09692170287894,18.897008278297207,14.735937196137574,0.16987176674949478,33.01378,355.56298484264966,18.856377931911393,14.864317356700628,0.2032800404567794,33.4317,48.89196729660034,95.15349197387695
3,327.22951458616063,18.089486258754064,14.026487066898733,0.23930101271603854,31.326277,338.2131472305513,18.390572342887445,14.369120436654963,0.2421650998376036,32.448566,106.90448641777039,95.15349197387695
4,305.64965244824526,17.482838794911125,13.503782338006582,0.2894578930450158,30.029726,328.6714284117793,18.129297491963918,14.101060343460299,0.2635455292459462,31.801138,120.89020776748657,95.15349197387695
5,287.99075890482874,16.9702904842475,13.041656307584617,0.33049870481795407,28.854689,323.2282184009821,17.97854896575764,13.938929880169075,0.275745270337854,31.500292,131.51733541488647,95.15349197387695
