epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,357.7833966417865,18.915163128141483,14.64911479382821,0.1682500779258549,32.72648,322.58659298319213,17.96069575235407,13.929705875020632,0.27717770714060075,32.059498,43.75414800643921,74.44636917114258
2,289.98875811700714,17.029056317722773,13.046624416476684,0.32586414362869476,28.91211,316.75616347621866,17.797644855476133,13.683910531057439,0.2902428531294293,31.382105,63.71203327178955,74.44636917114258
3,265.737123802794,16.301445458657515,12.43830896505914,0.3822356861542865,27.208292,318.1634080913705,17.837135502469838,13.672339345367861,0.28708954800673625,31.230848,358.58148860931396,74.44636917114258
4,244.83232336387576,15.6471186867334,11.882543483250577,0.43084098994031717,25.663504,330.3746911707059,18.176212245694398,13.86577658586099,0.25971979399384293,31.453232,196.9408392906189,74.44636917114258
5,229.2752968515029,15.141839282316495,11.462999679672887,0.4670010967750958,24.480972,334.0442305014167,18.27687698215198,13.983213263498225,0.25149287326396375,31.413668,186.77963590621948,74.44636917114258
