epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,358.78940602572686,18.94173715769144,14.689592452489528,0.16591131759366629,32.873165,323.20813031263754,17.97799011550895,13.880569458007812,0.2757896714028877,31.986486,34.135546922683716,47.703861236572266
2,290.9779802540285,17.058076711335293,13.068273538341732,0.323561134450857,29.004816,318.8437568772007,17.856196505793523,13.717257553422955,0.28557229973329756,31.591326,42.77661895751953,47.703861236572266
3,266.9808543508228,16.339548792206273,12.466928398478572,0.3793368469035091,27.312363,321.4791977573449,17.929841057195546,13.77363073322135,0.27966785467684174,31.303766,141.0795259475708,47.703861236572266
4,246.94935197188448,15.714622231424075,11.92969091621363,0.4259000052293126,25.783613,329.803705994512,18.160498571309923,13.93534493782151,0.2610092509334321,31.46225,123.44324827194214,47.703861236572266
5,231.8976369747347,15.228185631238944,11.53674672056625,0.46090531989847416,24.651897,341.12681321694816,18.46961857817008,14.170034489161532,0.23563427371724732,31.72796,119.0185399055481,47.703861236572266
