epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,503.74271331930385,22.44421331145689,17.78465691120225,-0.171045361307548,37.684326,411.4952315209617,20.285345197991123,16.323971009590256,0.07794205999944903,35.465042,84.93925666809082,47.703861236572266
2,404.83434518924525,20.120495611713405,15.824627510631961,0.058908293438800774,35.22481,394.2569507007868,19.855904832526203,15.856664294927892,0.11656719084263933,34.78953,115.64930009841919,47.703861236572266
3,379.6854743062051,19.48551959840063,15.265948865708424,0.11737283469239057,34.04558,379.77908755020354,19.487921536964976,15.462161923798037,0.1490139918046307,34.306137,241.35852479934692,47.703861236572266
4,364.4408474774428,19.09033387110578,14.92311126637347,0.15278944688046403,33.32618,367.4519232091769,19.16903553153306,15.124390534951653,0.1766353058515735,33.90704,310.1052780151367,47.703861236572266
5,350.242377984132,18.714763618374562,14.591781665461724,0.1858066509760753,32.590866,358.39915186922315,18.931432888835584,14.871499934666593,0.1969214408704959,33.548035,343.4609432220459,47.703861236572266
