epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,421.5933620351394,20.532738841361123,16.133922461985797,0.019941159611360004,35.672054,381.2035844829721,19.52443552996275,15.530651038801166,0.14581737366377168,34.266953,56.349186182022095,95.24609756469727
2,353.61502999319157,18.804654447629442,14.656919101780755,0.17797413502296133,32.834454,354.582334276656,18.830356807568567,14.803279325995646,0.20547513746233526,33.09775,61.041746854782104,95.24609756469727
3,325.02757919860744,18.028521283682444,13.961151488696652,0.24442560552591097,31.210604,336.1201279331261,18.333579192261215,14.272643505687444,0.24684718565821406,32.262676,147.4791283607483,95.24609756469727
4,303.4822900619865,17.42074309523991,13.427548360749963,0.29448913580905733,29.89796,326.6203396219603,18.07264055452841,13.997065920225332,0.26814333724619166,31.699463,166.23398089408875,95.24609756469727
5,285.47514701449256,16.896009798470445,12.967558730935826,0.3363587286814489,28.710073,321.1246984777316,17.91995259038844,13.869825309431048,0.280457922247499,31.220829,655.4224011898041,95.24609756469727
