epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,352.77472601996527,18.78229819904632,14.540012605873072,0.17989415834046085,32.492496,321.0295440244003,17.91729739549503,13.84155938323115,0.28066418252619507,32.155712,44.69200682640076,74.53897476196289
2,288.4502203617484,16.983822340481428,13.018573825161596,0.3294437861583085,28.798883,315.2352941808566,17.75486674425618,13.656173289661677,0.2936543076860293,31.177038,63.36385536193848,74.53897476196289
3,264.0162049772594,16.248575456217722,12.378268849308688,0.3862390965592597,27.01361,319.3019099705656,17.869020812922713,13.733375240379656,0.2845343023774627,31.152496,160.5126338005066,74.53897476196289
4,243.53089009316315,15.60547627695138,11.846662660159975,0.4338445344934634,25.531296,334.97914510377694,18.302435431923787,14.031955705562108,0.2494030884988372,31.687078,145.80836844444275,74.53897476196289
5,228.58089402845022,15.118891968750837,11.45887827686674,0.4686014012976496,24.389736,339.12686608542856,18.41539738717381,14.10040467221972,0.24010689687230957,31.713926,150.41502904891968,74.53897476196289
