epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,480.27509320829137,21.915179497522026,17.398082387346047,-0.11392068632943197,38.200897,476.84373779296874,21.836751578071816,18.065653228759764,-0.027755441879869114,34.855713,39.52761793136597,74.44636917114258
2,427.67147339774937,20.680219368720273,16.422985176189087,0.008028355341904603,36.83819,447.0544067382813,21.143661147925194,17.13269500732422,0.03606388622243073,34.167187,44.97016382217407,74.44636917114258
3,408.862905432077,20.220358672598408,15.994178303240378,0.05166815091491972,35.85981,443.57264404296876,21.061164790996617,16.886388206481932,0.04267422890875128,33.149296,110.32749676704407,74.44636917114258
4,391.93391401166616,19.797320915945463,15.594799404441465,0.0909083008659477,34.95826,432.9273193359375,20.806905861827914,16.741268157958984,0.06713815201521711,32.844494,139.85292220115662,74.44636917114258
5,376.37268031825425,19.400326805395743,15.245309120534838,0.12695710667011406,34.15639,434.03407592773436,20.833484781350567,16.882758331298827,0.06624228687099798,32.614117,131.7711522579193,74.44636917114258
