epoch,train_loss,train_rmse,train_mae,valid_loss,valid_rmse,valid_mae,train_time,model_size_MB
1,419.489720543039,20.481448194331698,16.127797362576814,383.90681221115756,19.593540041337796,15.573240374175596,81.30777764320374,74.44636917114258
2,358.2588128939108,18.927726051140187,14.757125536600748,357.2431610537247,18.900877182286063,14.797096091257014,108.17647242546082,74.44636917114258
3,329.60824670925945,18.155116243795582,14.075612932303702,340.7634466466769,18.459779119542283,14.34923518543512,120.74754166603088,74.44636917114258
4,307.41389207437004,17.533222534165176,13.53147928181202,329.32540399255885,18.14732498765235,14.031239482718455,177.82792210578918,74.44636917114258
5,290.16890328516234,17.034344829978785,13.09959760853942,323.5047938387159,17.98623900121676,13.871003997157997,186.7079107761383,74.44636917114258
