epoch,train_loss,train_rmse,train_mae,train_r2,train_mape,valid_loss,valid_rmse,valid_mae,valid_r2,valid_mape,train_time,model_size_MB
1,359.73782059694867,18.966755665573192,14.72029090785831,0.16370218293552308,32.90291,321.7696932940416,17.937940051578988,13.886525651098976,0.2790026070119357,32.024952,54.067633867263794,74.32730484008789
2,291.26583788279265,17.066512127185554,13.092774521017299,0.32288549002806666,29.02998,316.61297994264413,17.793621780689246,13.711319748784454,0.2905592935409108,31.059208,70.318674325943,74.32730484008789
3,265.2010781015029,16.284995441371105,12.429430775052879,0.38347995982536665,27.159803,323.23760212643043,17.97880996976909,13.780680387792453,0.2757098406303984,31.311062,203.42248249053955,74.32730484008789
4,243.84184496764658,15.615436134163609,11.858459459224218,0.43312445148844625,25.577635,335.679565214775,18.321560125428388,13.998199583778918,0.24783156240331228,31.570566,204.55215120315552,74.32730484008789
5,227.7070485623976,15.089965135753767,11.429913096957737,0.47063854991484055,24.331911,339.84442310601895,18.434869778513665,14.12112214531697,0.23849857825900955,31.563982,196.1470103263855,74.32730484008789
