split_method,split_method_en,model,model_type,best_val_auc,final_val_loss,final_rmse,final_mae,epochs_trained,total_time_s,time_per_epoch_s,model_size_mb,memory_overhead_mb
全局随机划分,global_random,AutoInt,AutoInt,0.7920,306.4131,17.5047,13.3948,32,115.8800,3.6213,1.2382,24.2305
按用户划分,user_based,AutoInt,AutoInt,0.7911,315.4632,17.7613,13.6173,30,97.8738,3.2625,1.2382,3.2109
